transaction_id,account_id,amount,transaction_type,date
1,1,114.66,withdrawal,2025-10-27 09:36:26.079965
2,245,743.75,transfer,2025-07-06 09:36:26.079993
3,151,1109.15,payment,2026-03-19 09:36:26.080012
4,195,-404.87,transfer,2026-03-20 09:36:26.080029
5,25,904.5,payment,2026-01-23 09:36:26.080044
6,91,-1015.48,withdrawal,2026-01-10 09:36:26.080058
7,146,39.9,payment,2025-10-07 09:36:26.080072
8,253,1197.01,withdrawal,2026-03-06 09:36:26.080086
9,183,-1264.42,payment,2026-03-24 09:36:26.080099
10,235,1694.38,withdrawal,2026-01-30 09:36:26.080112
11,180,-455.11,withdrawal,2026-03-05 09:36:26.080125
12,274,-826.54,payment,2026-04-29 09:36:26.080138
13,285,1970.65,transfer,2025-12-19 09:36:26.080151
14,189,-1575.31,withdrawal,2025-06-04 09:36:26.080164
15,69,-1496.7,withdrawal,2026-05-14 09:36:26.080178
16,204,-99.24,withdrawal,2025-06-27 09:36:26.080191
17,51,-1503.53,withdrawal,2026-04-09 09:36:26.080205
18,211,-10.08,transfer,2025-07-07 09:36:26.080219
19,101,32.67,transfer,2025-06-08 09:36:26.080232
20,145,787.61,payment,2026-01-04 09:36:26.080245
21,234,441.46,withdrawal,2026-03-07 09:36:26.080258
22,134,1684.41,transfer,2026-02-01 09:36:26.080271
23,37,201.65,withdrawal,2025-12-30 09:36:26.080283
24,70,-992.53,withdrawal,2026-02-09 09:36:26.080296
25,166,1691.62,payment,2025-10-08 09:36:26.080309
26,112,-1189.33,withdrawal,2025-12-12 09:36:26.080324
27,3,1008.18,withdrawal,2025-07-29 09:36:26.080337
28,59,-1490.97,withdrawal,2025-09-02 09:36:26.080350
29,2,300.56,withdrawal,2026-05-17 09:36:26.080364
30,18,-440.36,withdrawal,2025-06-18 09:36:26.080376
31,244,-26.16,transfer,2026-04-13 09:36:26.080389
32,25,-1564.14,withdrawal,2025-10-13 09:36:26.080403
33,167,-1267.04,withdrawal,2025-11-05 09:36:26.080416
34,290,-894.76,payment,2025-06-24 09:36:26.080429
35,10,-1023.0,withdrawal,2025-10-28 09:36:26.080442
36,74,-1384.4,transfer,2025-10-30 09:36:26.080455
37,7,65.33,payment,2025-07-19 09:36:26.080468
38,45,422.6,withdrawal,2025-09-11 09:36:26.080480
39,15,1268.47,withdrawal,2025-11-10 09:36:26.080494
40,147,25.7,payment,2025-12-27 09:36:26.080508
41,189,-1328.17,transfer,2026-01-20 09:36:26.080521
42,285,-1393.52,transfer,2025-08-24 09:36:26.080534
43,249,-1284.31,transfer,2026-04-08 09:36:26.080547
44,10,-410.34,withdrawal,2025-09-07 09:36:26.080560
45,201,440.3,withdrawal,2025-06-28 09:36:26.080572
46,160,-308.01,withdrawal,2025-07-22 09:36:26.080585
47,293,-1334.53,transfer,2026-03-20 09:36:26.080599
48,10,709.54,transfer,2025-09-16 09:36:26.080611
49,206,-1546.22,payment,2025-06-05 09:36:26.080624
50,252,-1853.19,payment,2026-02-16 09:36:26.080637
51,221,-712.97,payment,2026-01-17 09:36:26.080649
52,31,-1846.74,payment,2026-02-15 09:36:26.080663
53,34,229.97,payment,2026-04-02 09:36:26.080675
54,70,-1019.47,withdrawal,2025-10-23 09:36:26.080688
55,153,-990.62,withdrawal,2025-11-10 09:36:26.080701
56,182,1263.0,transfer,2025-06-20 09:36:26.080713
57,103,-201.75,transfer,2025-08-18 09:36:26.080727
58,215,-1320.79,transfer,2025-08-11 09:36:26.080739
59,239,-1603.25,withdrawal,2025-11-03 09:36:26.080752
60,28,120.98,transfer,2025-11-17 09:36:26.080765
61,8,610.8,withdrawal,2026-05-04 09:36:26.080778
62,109,-1711.11,transfer,2026-02-11 09:36:26.080790
63,97,1110.65,transfer,2025-10-29 09:36:26.080802
64,65,-873.6,withdrawal,2025-10-24 09:36:26.080815
65,96,434.68,withdrawal,2026-05-13 09:36:26.080828
66,199,-1464.36,payment,2025-07-13 09:36:26.080840
67,117,1756.95,payment,2025-06-02 09:36:26.080853
68,288,-1163.42,withdrawal,2026-04-12 09:36:26.080866
69,100,-189.32,transfer,2025-12-18 09:36:26.080879
70,112,1062.06,payment,2026-01-13 09:36:26.080892
71,50,-1807.76,transfer,2025-08-28 09:36:26.080905
72,80,-1563.74,transfer,2025-11-10 09:36:26.080918
73,171,-1880.3,withdrawal,2025-05-26 09:36:26.080931
74,277,428.41,withdrawal,2026-03-03 09:36:26.080944
75,274,-1440.31,transfer,2026-04-17 09:36:26.080957
76,83,1488.57,payment,2026-04-04 09:36:26.080970
77,266,213.12,withdrawal,2025-11-12 09:36:26.080983
